Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what are the first and last letters of the greek alphabet,Medium,Understanding,Entity,Letter
what is the web address at which i can find the e mail address of a member of the us house of representatives,Easy,Remembering,Location,Other
how big is the largest diamond,Easy,Remembering,Numeric,Volume or size
what are some ways to help someone with chicken pox,Medium,Understanding,Entity,Technology or method
how do i find out the exact time of a sunset for a particular day,Hard,Understanding,Description,Manner
when did the original howdy doody show go off the air,Hard,Analyzing,Numeric,Date
how many languages are there in the world,Hard,Understanding,Numeric,Count
who was picasso,Easy,Remembering,Human,Description
who were the only two bald u s  presidents,Easy,Remembering,Human,Individual
which member of charlie  s angels sang vocals for josie and the pussycats,Hard,Understanding,Human,Individual
what river flows past the temple of karnak,Medium,Understanding,Location,Other
what comedian was the perfect fool,Medium,Understanding,Human,Individual
what are the benefits of a rowing machine,Medium,Understanding,Description,Description
where do you find information about the queensland national competition policy,Medium,Understanding,Location,Other
what  s a    coup de poing    to a french boxer,Medium,Understanding,Description,Definition
what  s the difference between carelessness and carefreeness,Medium,Understanding,Description,Description
what is the islamic counterpart to the red cross,Easy,Remembering,Entity,Term or equation
why does tuberculosis afflict people,Medium,Understanding,Description,Reason
who loved flash gordon besides dale,Easy,Remembering,Human,Individual
what is tyvek,Easy,Remembering,Description,Definition
what do humans catch zoonose diseases from,Medium,Understanding,Entity,Other
how did asia get its name,Hard,Remembering,Description,Manner
what was the name of the u s  navy gunboat in the film the sand pebbles,Medium,Remembering,Entity,Vehicle
where can i get information on the original    us colonies,Medium,Understanding,Location,Other
for what disease is the drug sinemet used as a treatment,Easy,Remembering,Entity,Disease or medical condition
what are three ways in which wind is created on the earth,Medium,Understanding,Entity,Technology or method
what gender is not allowed to vote in kuwait,Easy,Remembering,Entity,Other
how many inches over six feet is tom selleck,Hard,Understanding,Numeric,Count
what is the name of the disease that actress hunter tylo  s baby girl has,Easy,Remembering,Entity,Disease or medical condition
who  s the only president buried in washington,Easy,Remembering,Human,Individual
how much could you rent a volkswagen bug for in     ,Medium,Evaluating,Numeric,Money
whose singing voice was dubbed in for natalie wood in west side story and audrey hepburn in my fair lady,Hard,Understanding,Human,Individual
what is the mean income of the top       top      and top   ,Easy,Remembering,Numeric,Money
what north american city sprouts the most parking meters,Medium,Understanding,Location,City
what is the largest and most expensive freeway construction project in the u s  right now,Easy,Remembering,Location,Other
what can i do to get into an ivy league school,Hard,Understanding,Description,Description
what film did louise fletcher win the best actress oscar for,Medium,Understanding,Entity,"Currency, monetary value, or gem"
where did gulliver find a race of tiny people,Medium,Understanding,Location,Other
what      film won seven oscars   including best picture,Medium,Understanding,Entity,"Currency, monetary value, or gem"
how much stronger is the new vitreous carbon material invented by the tokyo institute of technology compared with the material made from cellulose,Medium,Understanding,Numeric,Count
how much do tuberculosis combatting drugs cost,Hard,Understanding,Numeric,Money
president bush compared saddam hussein to whom,Medium,Understanding,Human,Individual
what  s the name of pittsburgh  s baseball team,Medium,Remembering,Human,Groups
what shakespeare play opens with the line      now is the winter of our discontent       ,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what tv comedian worked with white fang   black tooth and pookie the lion,Medium,Understanding,Human,Individual
who created the character james bond,Easy,Remembering,Human,Individual
what type of exercise burns the most calories,Medium,Understanding,Entity,Sport
what is    the only cigarette made with no leftovers   ,Easy,Remembering,Description,Description
where did the japanese imperial forces surrender to end wwii,Medium,Analyzing,Location,Other
what is mikhail gorbachev  s middle initial,Easy,Remembering,Abbreviation,Abbreviation
how many rows of whiskers does a cat have,Hard,Understanding,Numeric,Count
what british general surrendered to the colonial army at saratoga,Hard,Analyzing,Human,Individual
how can people from ireland come to the u s    work   and then return to ireland,Hard,Understanding,Description,Manner
what product  s ads claim that it    eliminates odors   kills household germs   mold   and mildew   ,Medium,Understanding,Entity,Product
what is the world population as of today,Easy,Remembering,Numeric,Count
what is the history of buffalo chicken wings,Easy,Remembering,Description,Description
what is humidity,Easy,Remembering,Description,Definition
what kind of creatures are black   yellow   and brown bullheads,Medium,Understanding,Entity,Animal
what city would you be in if you were feeding the pigeons in the piazza san marco,Medium,Creating,Location,City
what artist  s studio was the bateau lavoir in montmartre,Medium,Understanding,Human,Individual
what is the name of the planet that the ewoks live on,Easy,Remembering,Location,Other
how many words are there in the spanish language,Hard,Understanding,Numeric,Count
where is there information on the novel    el cid   ,Medium,Remembering,Location,Other
what is the chemical formula for napalm,Easy,Remembering,Entity,Symbol
what is yohimbine,Easy,Remembering,Description,Definition
what is    chicago hope   ,Easy,Remembering,Description,Definition
how many members of a family could be drafted in the u s  military during world war ii,Medium,Understanding,Numeric,Count
who wrote the song      silent night   ,Easy,Remembering,Human,Individual
what company is the largest japanese ship builder,Easy,Remembering,Human,Groups
what does the    blue ribbon    stand for,Hard,Understanding,Abbreviation,Expression
what is the average date when most malls begin putting up christmas holiday decorations,Easy,Remembering,Numeric,Date
how many characters are in the chinese alphabet,Hard,Understanding,Numeric,Count
where is burma,Easy,Remembering,Location,Other
who wrote the collector,Easy,Remembering,Human,Individual
which major diamond producer is based in south africa,Easy,Remembering,Human,Groups
who was samuel johnsons  s friend and biographer,Easy,Remembering,Human,Individual
what kind of women gave sigmund freud erotic dreams,Medium,Understanding,Human,Individual
what are the cleveland indians also called,Medium,Understanding,Entity,Term or equation
what commodity  s shortage was the largest single factor in keeping north american cars off the roads during world war ii,Medium,Understanding,Entity,Other
how many hummingbird eggs could fit in one ostrich egg,Medium,Understanding,Numeric,Count
who wrote the bestselling missionary travels and researches in south africa   published in     ,Easy,Remembering,Human,Individual
who played the father on    charles in charge   ,Easy,Remembering,Human,Individual
what is the gestation period for human pregnancies,Easy,Remembering,Numeric,Period of time
where did the name daniel originate,Medium,Remembering,Location,Other
what are common methods used to regulate monopolies,Medium,Understanding,Entity,Technology or method
what category does the color pink denote in the trivial pursuit baby boomer edition,Hard,Understanding,Description,Definition
how long does the average domesticated ferret live,Hard,Understanding,Numeric,Period of time
name the islamic counterpart to the red cross  ,Medium,Remembering,Entity,Term or equation
what are the historical trials following world war ii called,Medium,Understanding,Entity,Event
what states do not have state income tax,Medium,Understanding,Location,State or province
what city has the two steepest streets in the u s ,Hard,Remembering,Location,City
what is margaret thatcher known for,Easy,Remembering,Description,Reason
name the country of giants twelve times the size of man in    gulliver  s travels     ,Medium,Remembering,Location,Country
what  s men  s par on a     yard golf hole,Medium,Understanding,Numeric,Other
what four elements make up    percent of the human body,Medium,Understanding,Entity,Substance
how many countries are there,Medium,Understanding,Numeric,Count
where does most of the marijuana entering the united states come from,Medium,Understanding,Location,Other
stuart hamblen is considered to be the first singing cowboy of which medium,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what is steve rogers  s profession when he  s not captain america,Easy,Remembering,Human,Title
what is the most common cancer,Easy,Remembering,Entity,Disease or medical condition
who are the top    richest people in the world,Easy,Remembering,Human,Individual
how do i contact answers com direct,Hard,Understanding,Description,Manner
what causes a person to have constantly sweaty hands and feet,Medium,Understanding,Description,Reason
what happened to answers com,Medium,Creating,Description,Description
what is the spectrum of a sine wave,Easy,Remembering,Description,Definition
what ethnic group introduced the idea of potlatch,Medium,Understanding,Human,Groups
what is a person  s socioeconomic position,Easy,Remembering,Description,Definition
what do you say to a friend who ignores you for other friends,Medium,Remembering,Description,Description
how many yards are in   mile,Medium,Understanding,Numeric,Count
what actor was the first man to appear on the cover of mccall  s,Medium,Understanding,Human,Individual
what does r e m  stand for   as in the rock group r e m ,Hard,Understanding,Abbreviation,Expression
what cruise line does kathie lee gifford advertise for,Hard,Understanding,Human,Groups
what does the name jenna mean,Hard,Remembering,Description,Definition
why do girls have to wear training bras,Medium,Understanding,Description,Reason
when was the first successful heart transplant for a human,Medium,Understanding,Numeric,Date
how did edith bunker die,Hard,Understanding,Description,Manner
what country boasts cawdor castle   glamis castle   and blair castle,Medium,Understanding,Location,Country
define spumante  ,Medium,Understanding,Description,Definition
what does ph stand for,Medium,Understanding,Abbreviation,Expression
what country is mount everest in,Easy,Remembering,Location,Country
which country is the largest country in latin america,Easy,Remembering,Location,Country
name the four horsemen of the apocalypse  ,Medium,Remembering,Human,Individual
what are geckos,Medium,Understanding,Description,Definition
what is the name of a book written by aaron hass,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what is cosmology,Easy,Remembering,Description,Definition
how many watts make a kilowatt,Hard,Understanding,Numeric,Count
what tv series features the adventures of a married couple named jonathan and jennifer,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what female faith healer wrote the inspirational book i believe in miracles,Easy,Understanding,Human,Individual
who was jinnah,Easy,Remembering,Human,Description
what did esquire name ash hole of the year for     ,Medium,Remembering,Entity,Other
where did king francis i hang the    mona lisa    when he owned it,Medium,Understanding,Location,Other
what  s been the ruin of many a poor boy in new orleans,Medium,Understanding,Entity,Other
what is habeas corpus,Easy,Remembering,Description,Definition
how do you use an intranet,Medium,Understanding,Description,Manner
what famous husband and wife team did radio ads for blue nun wine,Medium,Understanding,Human,Individual
how many times has harold stassen announced a drive for the white house,Hard,Understanding,Numeric,Count
what are bottle caps with presidents   pictures inside worth,Medium,Understanding,Numeric,Money
where can i find the history of the hungarian language,Medium,Understanding,Location,Other
why do usa fax machines not work in uk   nnp,Medium,Understanding,Description,Reason
what cigarette is    a whole new world   ,Easy,Remembering,Entity,Other
who tramped through florida looking for the fountain of youth,Easy,Remembering,Human,Individual
in        what day of the week did christmas fall on,Medium,Understanding,Numeric,Date
what is the name of the song that dracula plays on the organ,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what two animals are specifically mentioned as being in noah  s ark,Medium,Understanding,Entity,Animal
what is federal income tax,Easy,Remembering,Description,Definition
what was the name of the confederate mounted guerrilla group with which jesse james and coleman younger had ridden,Medium,Remembering,Human,Groups
what disease plagued europe   africa and asia,Medium,Understanding,Entity,Disease or medical condition
what card game can feature dealer  s choice,Medium,Understanding,Entity,Sport
how many american soldiers are stationed in south korea,Medium,Understanding,Numeric,Count
what is a fear of failure,Easy,Remembering,Entity,Disease or medical condition
how many feet more than   is the average height of the great wall of china,Easy,Remembering,Numeric,Count
what was the verdict in the      trial of john t  scopes,Medium,Understanding,Description,Description
what is the best way to travel in japan,Easy,Remembering,Entity,Technology or method
how long ago did the anglican church part from the vatican,Hard,Understanding,Numeric,Period of time
how much did lucy van pelt originally charge for psychiatric sessions,Hard,Understanding,Numeric,Money
who followed up his first two underwater thrillers with the girl of the sea of cortez,Easy,Remembering,Human,Individual
when was the parthenon built,Hard,Analyzing,Numeric,Date
what      h g  wells novel was written under the title the chronic argonauts,Medium,Remembering,Entity,"Currency, monetary value, or gem"
what is a common dolphin,Easy,Remembering,Description,Definition
how is answers com funded,Easy,Remembering,Description,Manner
how long does a pig  s orgasm last,Hard,Understanding,Numeric,Period of time
what u s  state comes last in an alphabetical list,Medium,Creating,Location,State or province
how many mountains have been named for presidents in the continental usa,Hard,Understanding,Numeric,Count
what are the unemployment statistics for the years      and     ,Medium,Understanding,Numeric,Other
what does bud stand for,Hard,Understanding,Abbreviation,Expression
who is the one independent member of congress,Easy,Remembering,Human,Individual
what is a society ruled by elders,Easy,Remembering,Human,Groups
what two presidents of the u s  published books of poetry,Medium,Understanding,Human,Individual
which of the seven dwarfs comes first alphabetically,Medium,Understanding,Human,Individual
what professional cricketer  s son wrote the war of the worlds in     ,Medium,Understanding,Human,Individual
what condiment do the dutch dip their french fries in,Medium,Understanding,Entity,Food
which comic strip was never turned into a broadway musical,Medium,Understanding,Entity,"Currency, monetary value, or gem"
in what war was the first submarine used,Medium,Understanding,Entity,Event
cpr is the abbreviation for what,Easy,Remembering,Abbreviation,Expression
how many inches apart are adjacent pins in tenpin bowling,Medium,Understanding,Numeric,Count
how many miles of corridors are in the pentagon,Hard,Understanding,Numeric,Count
how do you find the area of a circle,Medium,Applying,Description,Manner
what u s  state includes the san juan islands,Medium,Understanding,Location,State or province
what english playwright penned      where the bee sucks   so shall i   ,Medium,Understanding,Human,Individual
what do the red and white stripes on a barbershop pole stand for,Hard,Understanding,Description,Definition
name the ship beany and cecil sailed  ,Medium,Remembering,Entity,Vehicle
how deep is a fathom,Easy,Remembering,Numeric,Distance
what was the    dead man  s hand   ,Medium,Understanding,Description,Definition
what was fred astaire  s dancing partner  s name,Medium,Remembering,Human,Individual
how do i find a web address for a company,Hard,Understanding,Description,Manner
what is the highest number of home runs on record for any one game,Easy,Remembering,Numeric,Count
what are some of australia  s native flora,Medium,Understanding,Entity,Plant
what heavyweight boxer was known as the wild bull of the pampas,Medium,Remembering,Human,Individual
how many quarts of whole milk is needed to make one pound of butter,Medium,Understanding,Numeric,Count
what london street claims to be the world center for men  s tailoring,Medium,Creating,Location,Other
how old is the universe,Easy,Remembering,Numeric,Period of time
when does the bible say the seasons started,Hard,Understanding,Numeric,Date
what animal has been called the poor man  s cow,Medium,Understanding,Entity,Animal
where did the marriage ceremony come from,Medium,Understanding,Description,Description
what bordering country is due north of costa rica,Easy,Remembering,Location,Country
what morris west novel deals with russian bishop who becomes pope,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what nation boarders mozambique,Medium,Understanding,Location,Country
what does ekg stand for,Hard,Understanding,Abbreviation,Expression
the olympic games in which year allowed nadia comaneci to become popular,Medium,Analyzing,Numeric,Date
what tv talk show host lends his name to a line of men  s clothing,Medium,Remembering,Human,Individual
what soft drink held a national flavor poll in     ,Medium,Understanding,Entity,Food
colin powell is famous for what,Easy,Remembering,Description,Reason
the jewish alphabet is known as what,Easy,Remembering,Entity,Term or equation
what is a fear of home surroundings,Easy,Remembering,Entity,Disease or medical condition
how many people die of tuberculosis yearly,Medium,Understanding,Numeric,Count
what is a specimen of basidiomycetes,Easy,Remembering,Description,Definition
who invented the electric guitar,Easy,Remembering,Human,Individual
what is the capital of california,Easy,Remembering,Location,City
what country comes last in an alphabetical list,Medium,Remembering,Location,Country
what are faults in the earth  s crust,Medium,Understanding,Description,Definition
what was an    asiento   ,Medium,Creating,Description,Definition
what kind of greeting is appropriate to send on yom kippur,Easy,Remembering,Description,Description
how hot should the oven be when baking peachy oat muffins,Medium,Creating,Numeric,Temperature
what is dextropropoxyphen napsylate,Easy,Remembering,Description,Definition
what don mclean song laments the day buddy holly died,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is srpska krajina,Easy,Remembering,Description,Definition
how was the kennedy money made,Hard,Understanding,Description,Manner
what country is the worlds leading supplier of cannabis,Easy,Remembering,Location,Country
what was the orca  s name that died of a fungal infection at sea world,Medium,Remembering,Entity,Animal
who is the president of pergament,Easy,Remembering,Human,Individual
what city is the kentucky horse park near,Easy,Remembering,Location,City
what does esa pekka salonen look like,Medium,Understanding,Description,Description
what cereal goes    snap   crackle   pop   ,Medium,Understanding,Entity,Food
how did water appear on the earth,Medium,Understanding,Description,Manner
where did hillary clinton graduate college,Medium,Understanding,Location,Other
what does robert mean,Medium,Understanding,Description,Definition
how do anti locking brakes work,Hard,Understanding,Description,Manner
what colors is magenta made of,Easy,Remembering,Entity,Color
how does the chain of command work inside an us army apache helicopter,Hard,Understanding,Description,Manner
which medium is hamblen the first singing cowboy in,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what is the name of jamiroquai new album,Easy,Remembering,Entity,"Currency, monetary value, or gem"
what is a hormone,Easy,Remembering,Description,Definition
what american naval officer broke japan  s isolationist policy in     ,Medium,Understanding,Human,Individual
what is fellatio,Easy,Remembering,Description,Definition
what characteristics contribute to its    intelligence   ,Medium,Understanding,Description,Reason
what significant battle was fought in belgium in     ,Medium,Understanding,Entity,Event
which police department made the all time biggest cocaine bust in ventura county,Medium,Understanding,Human,Groups
who gave us the    rolling writer   ,Easy,Remembering,Human,Individual
how were the days of the week named,Medium,Understanding,Description,Manner
who wrote the secret life of walter mitty,Easy,Remembering,Human,Individual
what      film had jack lemmon portraying a cartoonist,Medium,Understanding,Entity,"Currency, monetary value, or gem"
what is fiber in food,Easy,Remembering,Description,Definition
what  s the traditional drink at the kentucky derby,Medium,Understanding,Entity,Food
who is the head of the world bank,Easy,Remembering,Human,Individual
why do some jets have a vapor trail   and others do not,Hard,Understanding,Description,Reason
what is a fear of childbirth,Easy,Remembering,Entity,Disease or medical condition
how many people does honda employ in the u s ,Hard,Understanding,Numeric,Count
what species was winnie the pooh,Medium,Understanding,Entity,Animal
how much calcium should an adult female have daily,Medium,Creating,Numeric,Count
what is the most popular last name,Easy,Remembering,Human,Individual
what does an ashen faced eidologist search out the existence of,Medium,Understanding,Entity,Other
who moderated the first kennedy nixon tv debate,Easy,Remembering,Human,Individual
who portrayed george m  cohan in       s yankee doodle dandy,Easy,Remembering,Human,Individual
what is the s&p     used for,Easy,Remembering,Description,Reason
what does    philebus like    mean,Medium,Understanding,Description,Definition
when was nostradamus born,Medium,Understanding,Numeric,Date
what are the ingredients of coca cola,Medium,Understanding,Entity,Substance
who  s the only u s  president to have won a pulitzer prize,Easy,Remembering,Human,Individual
what is nuclear proliferation,Easy,Remembering,Description,Definition
who was maria theresa,Easy,Remembering,Human,Description
what is the country of origin for the name thomas,Easy,Remembering,Location,Country
why do you say    god bless you    when people sneeze,Medium,Understanding,Description,Reason
what is the population of the largest chilean city,Easy,Remembering,Numeric,Count
what country has the highest per capita consumption of cheese,Easy,Remembering,Location,Country
what is larry king  s occupation,Easy,Remembering,Human,Title
who invented    the muppets   ,Easy,Remembering,Human,Individual
why does a wheel   e g  a car tire   appear to spin in the opposite direction as it slows down,Hard,Understanding,Description,Reason
what sea is bombay on,Medium,Remembering,Location,Other
who are cartoondom  s super six,Easy,Remembering,Human,Groups
what does    e pluribus unum    on the penny mean,Medium,Understanding,Description,Definition
what  s the difference between tft and dual scan display,Medium,Understanding,Description,Description
what fool is not so wise to lose an oath to win a paradise,Easy,Creating,Human,Individual
what is the english meaning of caliente,Easy,Remembering,Description,Definition
where in the americas is it only    miles from the atlantic to the pacific,Hard,Analyzing,Location,Other
what does the word    opera    mean,Hard,Understanding,Description,Definition
how tall was the animated frankenstein,Hard,Understanding,Numeric,Distance
how do you ask questions,Medium,Understanding,Description,Manner
what u s  city is known as the rubber capital of the world,Easy,Remembering,Location,City
what countries have the highest ratio of university students,Medium,Understanding,Location,Country
how can you become an fbi agent,Medium,Understanding,Description,Manner
what is the world  s best selling cookie,Easy,Remembering,Entity,Food
how many miles is it from ny to austria,Medium,Remembering,Numeric,Count
where did the energy for the big bang come from,Medium,Understanding,Description,Description
how big is the universe actually,Easy,Remembering,Numeric,Volume or size
what is the difference between the koran and the bible,Easy,Remembering,Description,Description
what monarch signed the magna carta,Medium,Understanding,Human,Individual
what  s the u s  navy hymn,Medium,Understanding,Entity,"Currency, monetary value, or gem"
how many sides does a heptagon have,Hard,Understanding,Numeric,Count
what grand slam golf tournament wasn  t held between      and     ,Medium,Understanding,Entity,Sport
what is idealab  ,Easy,Remembering,Description,Definition
where are there aborigines,Medium,Understanding,Location,Other
what toy can you make sleep,Medium,Understanding,Entity,Product
what caused the division between the anglicans and the vatican,Hard,Understanding,Description,Reason
what corporation does madonna advertise for,Hard,Understanding,Human,Groups
on what river is rome built,Easy,Remembering,Location,Other
where on the web is adventours tours from sydney   australia,Medium,Understanding,Location,Other
where were the      summer olympics held,Medium,Creating,Location,Other
what cathedral was thomas becket murdered in,Medium,Understanding,Location,Other
why was curious george curious,Medium,Understanding,Description,Reason
how did u s a become involved in the barbary wars,Hard,Understanding,Description,Manner
the kentucky horse park is close to which american city,Easy,Remembering,Location,City
what store does martha stewart advertise for,Medium,Understanding,Human,Groups
what do you know about multicultural and multilingual schools,Medium,Understanding,Description,Description
what is the origin of u s  army sergeant  s stripes,Easy,Remembering,Description,Description
how old was sir edmund hillary when he climbed mt  everest,Hard,Understanding,Numeric,Period of time
where in a tree does photosynthesis occur,Hard,Understanding,Location,Other
what are some science fair projects for  th graders,Medium,Understanding,Entity,Event
what strait links the mediterranean sea and the atlantic ocean,Hard,Understanding,Location,Other
what airport is on the piccadilly subway line,Medium,Understanding,Location,Other
which police department made the largest cocaine seizure ever in ventura county,Easy,Remembering,Human,Groups
what color is the eight ball in pocket billiards,Easy,Remembering,Entity,Color
what was the first ready to eat breakfast cereal,Medium,Understanding,Entity,Food
what did benny carter play,Easy,Remembering,Entity,Other
what seven digits follow the area code in the number for long distance information,Hard,Applying,Numeric,Code
what city  s airport is named logan international,Easy,Remembering,Location,City
what pope inaugurated vatican international radio,Medium,Understanding,Human,Individual
how many times more than  ,Hard,Understanding,Numeric,Count
how many names are there for eskimo people,Hard,Understanding,Numeric,Count
what king is satirized in the line      the king was in the countinghouse   counting all his money   ,Easy,Understanding,Human,Individual
what shape shifting menace did rom come to earth to fight,Medium,Understanding,Entity,Other
what is the nickname of pennsylvania,Easy,Remembering,Location,State or province
what causes headaches,Medium,Understanding,Description,Reason
names of books by james a  michener set in the following locations,Medium,Understanding,Entity,"Currency, monetary value, or gem"
when was the first stained glass window made,Medium,Understanding,Numeric,Date
what company  s trademark was his master  s voice,Medium,Understanding,Human,Groups
what pope inaugurated vatican international radio,Medium,Understanding,Human,Individual
what director made one silent and one sound version of the ten commandments,Medium,Understanding,Human,Individual
when did swimming become commonplace,Medium,Understanding,Numeric,Date
which presidents of the usa were masons,Medium,Understanding,Human,Individual
who was the tallest u s  president,Easy,Remembering,Human,Individual
what is the largest museum in the world,Easy,Remembering,Location,Other
how can i enforce new rules to a group of youngsters who have been allowed to do as they please  ,Hard,Remembering,Description,Manner
what character in the beverly hillbillies has the given names daisy moses,Medium,Understanding,Human,Individual
what comedienne calls her sister in law captain bligh and her mother in law moby dick,Medium,Understanding,Human,Individual
how many gallons of paint does it take to paint the golden gate bridge,Medium,Understanding,Numeric,Count
what president also became a supreme court justice,Medium,Understanding,Human,Individual
when does menstruation begin,Hard,Understanding,Numeric,Date
where did makeup originate,Medium,Understanding,Location,Other
what is the only modern language that capitalizes its singular first person pronoun,Easy,Remembering,Entity,Language
what is the claim to fame of agra   india,Easy,Remembering,Description,Reason
what flag flies over wake island,Medium,Understanding,Entity,Other
how deep is a fathom,Easy,Remembering,Numeric,Distance
what kennedy was married to ethel,Medium,Creating,Entity,"Currency, monetary value, or gem"
what u s  state is mammoth cave national park in,Easy,Remembering,Location,State or province
what is the most famous german word in the english language,Easy,Remembering,Entity,Word
who was actress june havoc  s legendary sister,Easy,Remembering,Human,Individual
what is widely used to detect birth defects,Easy,Remembering,Entity,Other
what is the chromosome number of an elephant,Easy,Remembering,Numeric,Other
who killed jfk,Easy,Remembering,Human,Individual
who was the star witness at the senate watergate hearings,Easy,Remembering,Human,Individual
what is the order of the arrow in boy scouts,Easy,Remembering,Description,Definition
in what country is a stuck out tongue a friendly greeting,Easy,Remembering,Location,Country
what are the five basic swimming strokes,Medium,Understanding,Entity,Technology or method
who is the son in law of sen  everett dirkson who was also a senator in the      s,Easy,Remembering,Human,Individual
where is erykah badu originally from,Easy,Remembering,Location,Other
where can i buy a pony on the big island for my daughter,Medium,Understanding,Location,Other
how old was george washington when he died,Hard,Understanding,Numeric,Period of time
what is the recipe or formula for coca cola,Easy,Remembering,Entity,Food
who made the rotary engine automobile,Easy,Remembering,Human,Groups
what is the origin of the term    blue moon      and how often do they occur,Easy,Understanding,Description,Description
how many blacks served in the vietnam war,Hard,Understanding,Numeric,Count
what were the last names of gangsters bonnie and clyde,Medium,Understanding,Human,Individual
what is the address of the famous mexican star    thalia   ,Easy,Remembering,Location,Other
what does a man suffering from diphallic terata have,Medium,Understanding,Entity,Disease or medical condition
who invented panties,Easy,Remembering,Human,Individual
what is pittsburgh  s baseball team called,Easy,Remembering,Human,Groups
what is p m  an abbreviation for   as in   p m ,Easy,Remembering,Abbreviation,Expression
what sport can a free legged pacer compete in,Medium,Understanding,Entity,Sport
what does cpr stand for,Hard,Understanding,Abbreviation,Expression
what president had never held an elected office until he was elected to the white house,Hard,Creating,Human,Individual
what are the diseases that can be cured by black cumin,Medium,Understanding,Entity,Disease or medical condition
what fruit does the ficus produce,Hard,Understanding,Entity,Food
who is the richest person in the world,Easy,Remembering,Human,Individual
what is an aurora,Easy,Remembering,Description,Definition
how much time does the blinking of an eye take,Hard,Understanding,Numeric,Count
what made the short lived star hawks strip so unique,Medium,Understanding,Description,Reason
what  s the biggest selling u s  magazine aimed at a black audience,Medium,Understanding,Entity,"Currency, monetary value, or gem"
how deep is a fathom,Easy,Remembering,Numeric,Distance
what is the primary language of the philippines,Easy,Remembering,Entity,Language
when did the use of    the syringe    first appear in medicinal history,Medium,Understanding,Numeric,Date
what was the long march in china,Medium,Understanding,Description,Definition
what international organization was founded by clara barton,Medium,Understanding,Human,Groups
what corporation does madonna advertise for,Hard,Understanding,Human,Groups
what is the islamic equivalent of the red cross,Easy,Remembering,Entity,Term or equation
how many people visit the pope each month,Hard,Understanding,Numeric,Count
what planet gave bith to superman,Medium,Remembering,Location,Other
what month of the year is there no television in iceland,Medium,Remembering,Numeric,Date
what george harrison tune sounded too much like he  s so fine by the chiffons,Medium,Understanding,Entity,"Currency, monetary value, or gem"
who is buried in the great pyramid of giza,Easy,Remembering,Human,Individual
what is the most important nation in the world   historically,Easy,Remembering,Location,Country
what is the current unemployment rate in the u s ,Easy,Remembering,Numeric,Percentage
when was the first railroad from the east coast to the west coast completed,Hard,Analyzing,Numeric,Date
how fast can a corvette go,Hard,Understanding,Numeric,Speed
what do a diamond and lump of coal have in common,Medium,Understanding,Description,Description
what famous actress made her first appearance on stage at the age of five in the year     as    baby   ,Medium,Understanding,Human,Individual
what effect does lsd have on the brain,Medium,Understanding,Description,Description
what are the three most successful companies of our time,Medium,Understanding,Human,Groups
how much did a mcdonald  s hamburger cost in     ,Hard,Understanding,Numeric,Money
what is the name of the company that manufactures the    american girl    doll collection,Easy,Remembering,Human,Groups
what is a horologist,Easy,Remembering,Description,Definition
what was the effect of the yalta conference,Medium,Understanding,Description,Description
where is the group m people from,Easy,Remembering,Location,Other
what country is famous for persian rugs,Easy,Remembering,Location,Country
how many were in attendance at the last supper,Hard,Understanding,Numeric,Count
how long should you feed your puppy purina puppy chow,Medium,Creating,Numeric,Period of time
what do the figures represent on the easter island,Medium,Understanding,Description,Definition
what magazine paid $        for an eight millimeter film of john f  kennedy  s assassination,Medium,Creating,Entity,"Currency, monetary value, or gem"
what is the name given to the islamic counterpart of the red cross,Easy,Remembering,Entity,Term or equation
how does a submarine operate,Hard,Understanding,Description,Manner
what city is graced by the arch of titus,Easy,Remembering,Location,City
what is michael jackson  s father  s name,Easy,Remembering,Human,Individual
who was the girl in peter sellers  s soup,Easy,Remembering,Human,Individual
what creative genius said      everything comes to him who hustles while he waits   ,Easy,Remembering,Human,Individual
how is paraguay for vacations,Easy,Remembering,Description,Manner
where is the world  s most active volcano located,Easy,Remembering,Location,Other
what is the acronym for the rating system for air conditioner efficiency,Easy,Remembering,Abbreviation,Abbreviation
what country is bounded in part by the indian ocean and coral and tasman seas,Easy,Remembering,Location,Country
how many people did randy steven craft murder,Hard,Understanding,Numeric,Count
what do you call a section of your finger from one joint to another,Medium,Understanding,Entity,Term or equation
what happened on january          ,Medium,Understanding,Entity,Event
what muhammad ali maneuver was george foreman the first victim of,Medium,Understanding,Entity,Technology or method
what is dsl,Easy,Remembering,Abbreviation,Expression
how many small businesses are there in the united states,Hard,Understanding,Numeric,Count
who was ben casey  s boss,Easy,Remembering,Human,Individual
what multitalented academy award winning director failed a college course in motion picture production,Medium,Understanding,Human,Individual
where is ayer  s rock,Easy,Remembering,Location,Other
what  s a craps player called,Medium,Understanding,Entity,Term or equation
when was the berlin wall erected,Hard,Analyzing,Numeric,Date
when was cigarette advertising banned on television and radio,Medium,Understanding,Numeric,Date
what is the name of the game that garry kasparov plays,Easy,Remembering,Entity,Sport
what caribbean cult did marcus garvey originate,Medium,Understanding,Entity,Religion
